Game,User ID,Type,Hours
007 Legends,46055854,play,0.7
0RBITALIS,11940338,play,0.6
0RBITALIS,86055705,play,0.3
0RBITALIS,93030550,play,0.3
1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),49893565,play,2.4
1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),50818751,play,5
1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),58345543,play,11.2
1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),65117175,play,1.2
1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),78560022,play,0.2
10 Second Ninja,11940338,play,0.5
10 Second Ninja,124725852,play,5.4
"10,000,000",33865373,play,3.6
100% Orange Juice,48028873,play,1.8
100% Orange Juice,88525821,play,0.9
100% Orange Juice,93644606,play,3.1
100% Orange Juice,115996656,play,2.5
100% Orange Juice,125017535,play,0.7
100% Orange Juice,152078939,play,31
100% Orange Juice,167815968,play,1.4
100% Orange Juice,172518437,play,1.9
100% Orange Juice,197328486,play,35
1000 Amps,55426012,play,0.1
12 Labours of Hercules,39037163,play,0.2
12 Labours of Hercules,60217594,play,7.1
12 Labours of Hercules,62990992,play,9.8
12 Labours of Hercules,73835640,play,6
12 Labours of Hercules,116876958,play,2.8
12 Labours of Hercules,123974970,play,5.2
12 Labours of Hercules,138941587,play,3.6
12 Labours of Hercules II The Cretan Bull,62990992,play,9.9
12 Labours of Hercules II The Cretan Bull,73835640,play,5.4
12 Labours of Hercules II The Cretan Bull,84471496,play,0.1
12 Labours of Hercules II The Cretan Bull,146999982,play,0.2
12 Labours of Hercules II The Cretan Bull,147602462,play,14.7
12 Labours of Hercules II The Cretan Bull,153956921,play,1.3
12 Labours of Hercules II The Cretan Bull,162076421,play,1.9
12 Labours of Hercules II The Cretan Bull,209917929,play,0.8
12 Labours of Hercules III Girl Power,62990992,play,11.9
12 Labours of Hercules III Girl Power,73835640,play,4.4
12 Labours of Hercules III Girl Power,138941587,play,3.3
140,21061921,play,0.4
140,30246419,play,1.2
140,120523185,play,2
140,130312302,play,1.2
140,154230723,play,1.5
15 Days,147602462,play,0.5
16bit Trader,62990992,play,4.7
16bit Trader,92914917,play,4.2
1701 A.D. Sunken Dragon,47457723,play,0.6
18 Wheels of Steel American Long Haul,43684632,play,5.8
1953 NATO vs Warsaw Pact,62990992,play,5.9
1Quest,62990992,play,2.7
3 Stars of Destiny,138941587,play,4.7
3089 -- Futuristic Action RPG,101602586,play,0.3
3D Mini Golf,147602462,play,1
3DMark,1950243,play,26
3DMark,3449240,play,0.3
3DMark,8585433,play,1.3
3DMark,9823354,play,0.3
3DMark,11978743,play,170
3DMark,14465359,play,5.4
3DMark,22301321,play,0.3
3DMark,24469287,play,4.3
3DMark,37422528,play,2.6
3DMark,45617627,play,4.2
3DMark,48798067,play,1.3
3DMark,62990992,play,4.2
3DMark,64787956,play,9.3
3DMark,69954842,play,5
3DMark,78341587,play,1.6
3DMark,80550861,play,2.1
3DMark,86256882,play,1.6
3DMark,87740709,play,1
3DMark 11,14465359,play,3
3DMark Vantage,11978743,play,21
4 Elements,11373749,play,9.4
4 Elements,20772968,play,2.1
4 Elements,84455820,play,37
4 Elements,138941587,play,10.9
404Sight,53875128,play,0.5
404Sight,144580725,play,0.8
404Sight,168244631,play,0.3
404Sight,174923254,play,1.3
404Sight,195780309,play,0.2
404Sight,205793409,play,0.4
404Sight,231042734,play,0.2
500 Years Act 1,138941587,play,3
60 Seconds!,95780749,play,1.6
60 Seconds!,157275758,play,3.6
60 Seconds!,211544205,play,1
60 Seconds!,239511574,play,1.9
60 Seconds!,243664576,play,1.2
7 Days to Die,298950,play,14.3
7 Days to Die,9180659,play,6.2
7 Days to Die,10599862,play,0.3
7 Days to Die,17414305,play,160
7 Days to Die,17497581,play,28
7 Days to Die,19696244,play,34
7 Days to Die,21061921,play,65
7 Days to Die,22301321,play,0.6
7 Days to Die,27171538,play,1
7 Days to Die,30239820,play,6.4
7 Days to Die,30440303,play,5.4
7 Days to Die,32102983,play,5.3
7 Days to Die,33622085,play,4.8
7 Days to Die,36546868,play,0.8
7 Days to Die,37829487,play,12.2
7 Days to Die,43684632,play,4.4
7 Days to Die,43913966,play,6.4
7 Days to Die,47457723,play,0.2
7 Days to Die,49228258,play,15.1
7 Days to Die,49893565,play,5.4
7 Days to Die,51085779,play,9.1
7 Days to Die,52731290,play,3.3
7 Days to Die,58481977,play,29
7 Days to Die,58618147,play,54
7 Days to Die,59825286,play,164
7 Days to Die,59945701,play,7.8
7 Days to Die,61506388,play,2.4
7 Days to Die,62878249,play,24
7 Days to Die,66229356,play,7.4
7 Days to Die,67492611,play,19.7
7 Days to Die,69856757,play,81
7 Days to Die,71335402,play,8.2
7 Days to Die,71527252,play,43
7 Days to Die,72523666,play,22
7 Days to Die,75463760,play,6.9
7 Days to Die,76420334,play,0.9
7 Days to Die,77665527,play,57
7 Days to Die,77830706,play,72
7 Days to Die,80363319,play,6.3
7 Days to Die,83497449,play,23
7 Days to Die,83625754,play,417
7 Days to Die,86338111,play,18.8
7 Days to Die,86733992,play,9.1
7 Days to Die,87040683,play,7.1
7 Days to Die,87201181,play,0.9
7 Days to Die,88525821,play,15.3
7 Days to Die,92107940,play,99
7 Days to Die,94161846,play,42
7 Days to Die,95084569,play,1.3
7 Days to Die,96400571,play,14.6
7 Days to Die,98818460,play,50
7 Days to Die,104727643,play,6.6
7 Days to Die,105384518,play,4
7 Days to Die,106147454,play,27
7 Days to Die,114727578,play,2
7 Days to Die,121497634,play,10.8
7 Days to Die,129925351,play,55
7 Days to Die,130547869,play,137
7 Days to Die,131940023,play,371
7 Days to Die,133439936,play,0.2
7 Days to Die,134967717,play,1.6
7 Days to Die,135400225,play,34
7 Days to Die,137846274,play,0.5
7 Days to Die,138482130,play,38
7 Days to Die,142650116,play,0.6
7 Days to Die,150789931,play,13.1
7 Days to Die,155673786,play,18.5
7 Days to Die,156071982,play,1
7 Days to Die,159800136,play,17.2
7 Days to Die,159994178,play,72
7 Days to Die,161139120,play,87
7 Days to Die,161759944,play,11.2
7 Days to Die,164318687,play,6.4
7 Days to Die,164475918,play,6.7
7 Days to Die,164761364,play,31
7 Days to Die,165755355,play,8.6
7 Days to Die,166863117,play,16.9
7 Days to Die,168732483,play,15.8
7 Days to Die,172518437,play,1.4
7 Days to Die,173453295,play,3.2
7 Days to Die,174287424,play,175
7 Days to Die,175447188,play,33
7 Days to Die,176539817,play,2.7
7 Days to Die,176929122,play,26
7 Days to Die,186673066,play,619
7 Days to Die,190022459,play,2.5
7 Days to Die,190675881,play,36
7 Days to Die,195171884,play,336
7 Days to Die,196595568,play,16.8
7 Days to Die,212369949,play,70
7 Days to Die,216242027,play,0.4
7 Days to Die,220602833,play,6.9
7 Days to Die,221694858,play,52
7 Days to Die,239413586,play,5.2
7 Days to Die,243522372,play,2.2
7 Days to Die,243664576,play,0.2
7 Days to Die,244445520,play,0.4
7 Days to Die,264626784,play,1
8BitBoy,33865373,play,0.2
8BitBoy,58345543,play,0.3
8BitBoy,71527252,play,24
8BitBoy,72978546,play,0.2
8BitBoy,95930936,play,1.6
8BitBoy,128651888,play,0.2
8BitBoy,130764464,play,0.2
8BitBoy,156675178,play,0.5
8BitMMO,38465050,play,0.2
8BitMMO,39361297,play,0.7
8BitMMO,58345543,play,0.5
8BitMMO,80511960,play,0.1
8BitMMO,102927775,play,0.1
8BitMMO,107567915,play,0.1
8BitMMO,115487966,play,0.2
8BitMMO,117531196,play,0.2
8BitMMO,124725852,play,0.2
8BitMMO,127220350,play,2.4
8BitMMO,129117376,play,0.6
8BitMMO,148362155,play,0.7
8BitMMO,154014392,play,0.1
8BitMMO,154687199,play,0.2
8BitMMO,165216496,play,0.1
8BitMMO,167118460,play,0.2
8BitMMO,169054646,play,0.4
8BitMMO,174276289,play,0.2
8BitMMO,181666776,play,0.2
8BitMMO,185435886,play,0.4
