Name,Platform
IL-2 Sturmovik: Forgotten Battles,PC
Imperial Glory,PC
Imperium Romanum,PC
Impossible Creatures,PC
Indigo Prophecy,PC
Inversion,PC
Jack Keane,PC
James Bond 007: Blood Stone,PC
JASF: Jane's Advanced Strike Fighters,PC
Jewel Master: Cradle Of Rome 2,PC
Jewel Quest 5: The Sleepless Star,PC
Jewel Quest II,PC
Joint Operations: Combined Arms,PC
Jonah Lomu Rugby Challenge,PC
Juiced 2: Hot Import Nights,PC
Jurassic Park: Operation Genesis,PC
Just Cause,PC
Just Cause 2,PC
Just Cause 3,PC
Kane & Lynch 2: Dog Days,PC
King Arthur II,PC
Kingdoms of Amalur: Reckoning,PC
King's Bounty: Armored Princess,PC
Knights of Honor,PC
Kung Fu Panda,PC
L.A. Noire: The Complete Edition,PC
Lara Croft and the Temple of Osiris,PC
Left 4 Dead,PC
Left 4 Dead 2,PC
Legacy of Kain: Defiance,PC
Legend: Hand of God,PC
Legendary,PC
Lego Batman 3: Beyond Gotham,PC
LEGO Batman: The Videogame,PC
LEGO Harry Potter: Years 1-4,PC
LEGO Harry Potter: Years 5-7,PC
LEGO Indiana Jones 2: The Adventure Continues,PC
LEGO Indiana Jones: The Original Adventures,PC
LEGO Jurassic World,PC
LEGO Marvel Super Heroes,PC
LEGO Pirates of the Caribbean: The Video Game,PC
LEGO Star Wars II: The Original Trilogy,PC
LEGO Star Wars III: The Clone Wars,PC
LEGO Star Wars: The Video Game,PC
LEGO The Hobbit,PC
LEGO The Lord of the Rings,PC
Legoland,PC
Life is Strange,PC
Littlest Pet Shop,PC
Living Legends: Frozen Beauty,PC
Lock On: Modern Air Combat,PC
Lords of the Fallen,PC
Lost Horizon,PC
Lost Planet 2,PC
Lost Planet 3,PC
Lost: Via Domus,PC
Machinarium,PC
Madagascar: Escape 2 Africa,PC
Mafia,PC
Mafia II,PC
Mafia III,PC
Magicka,PC
Magicka Collection,PC
Majesty 2 Collection,PC
Majesty 2: The Fantasy Kingdom Sim,PC
Major League Baseball 2K11,PC
Major League Baseball 2K12,PC
Marvel: Ultimate Alliance,PC
Mass Effect,PC
Mass Effect 2,PC
Mass Effect 3,PC
Mass Effect Trilogy,PC
Mata Hari: Betrayal is only a Kiss Away,PC
Max Payne,PC
Max Payne 2: The Fall of Max Payne,PC
Max Payne 3,PC
Maximum Capacity: Hotel Giant,PC
Medal of Honor,PC
Medal of Honor: Airborne,PC
Medal of Honor: Warfighter,PC
Medieval II: Total War,PC
Medieval II: Total War Gold Edition,PC
Men of War,PC
Men of War: Assault Squad,PC
Men of War: Vietnam,PC
Metal Gear Solid V: Ground Zeroes,PC
Metal Gear Solid V: The Phantom Pain,PC
Metro 2033,PC
Metro: Last Light,PC
Microsoft Flight Simulator,PC
Microsoft Flight Simulator 2004: A Century of Flight,PC
Microsoft Flight Simulator X,PC
Microsoft Flight Simulator X Acceleration Expansion Pack,PC
Microsoft Train Simulator,PC
Middle-Earth: Shadow of Mordor,PC
Midnight Mysteries: The Edgar Allan Poe Conspiracy,PC
Might & Magic Heroes VI,PC
Might & Magic Heroes VII,PC
Might & Magic X: Legacy,PC
Minds and Mystery: 5 Game Pack,PC
Minecraft: Story Mode,PC
Mini Ninjas,PC
Mirror's Edge,PC
Mirror's Edge Catalyst,PC
Monkey Island: Special Edition Collection,PC
Monopoly,PC
Monster Jam,PC
Monsters vs. Aliens,PC
Mortal Kombat,PC
Mortal Kombat X,PC
Mount & Blade,PC
Mount & Blade Collection,PC
Mount & Blade: Warband,PC
"Murder, She Wrote",PC
Murdered: Soul Suspect,PC
MXGP 2,PC
MySims,PC
Myst,PC
Mystery Case Files: Ravenhearst,PC
Mystery Legends: Beauty and the Beast,PC
Mystery Trackers: The Void,PC
Nancy Drew: Alibi In Ashes,PC
Napoleon: Total War,PC
NBA 2K11,PC
NBA 2K12,PC
NBA 2K13,PC
NBA 2K16,PC
NBA 2K17,PC
NCIS,PC
Need for Speed (2015),PC
Need for Speed Carbon,PC
Need for Speed Rivals,PC
Need for Speed Underground,PC
Need for Speed Underground 2,PC
Need for Speed: Hot Pursuit,PC
Need for Speed: Most Wanted,PC
Need for Speed: Most Wanted,PC
Need for Speed: ProStreet,PC
Need for Speed: Shift,PC
Need for Speed: Shift 2 Unleashed,PC
Need for Speed: The Run,PC
Need For Speed: Undercover,PC
Neverwinter Nights,PC
Neverwinter Nights 2,PC
Neverwinter Nights 2: Mask of the Betrayer,PC
Neverwinter Nights Diamond,PC
NHL 09,PC
Off-Road Drive,PC
Oil Rush,PC
Operation Flashpoint: Dragon Rising,PC
Operation Flashpoint: Red River,PC
Order of War,PC
Overlord,PC
Overlord II,PC
Overwatch,PC
Painkiller,PC
Paranormal Pursuit: The Gifted One,PC
ParaWorld,PC
Patrician IV,PC
Payday 2,PC
Peggle Nights,PC
Pharaoh,PC
Pillars of Eternity,PC
Pirates of the Burning Sea,PC
Planescape: Torment,PC
Plants vs. Zombies,PC
Plants vs. Zombies: Garden Warfare,PC
Plants vs. Zombies: Garden Warfare 2,PC
Poker for Dummies,PC
Pony Friends 2,PC
Port Royale 2,PC
Portal 2,PC
Post Mortem,PC
Praetorians,PC
Prey,PC
Prince of Persia (2008),PC
Prince of Persia: The Forgotten Sands,PC
Pro Cycling Manager 2016,PC
Pro Evolution Soccer 2010,PC
pro evolution soccer 2011,PC
Pro Evolution Soccer 2012,PC
Pro Evolution Soccer 2013,PC
Pro Evolution Soccer 2014,PC
Pro Evolution Soccer 2015,PC
Pro Evolution Soccer 2016,PC
Pro Evolution Soccer 2017,PC
Pro Farm 1,PC
Project CARS,PC
Puppet Show 3: Lost Town,PC
Quake 4,PC
Quantum Break,PC
R.U.S.E.,PC
RACE On,PC
Rage,PC
Rail Simulator,PC
Railroad Tycoon 3,PC
Ratatouille,PC
Raven Squad: Operation Hidden Dagger,PC
Rayman 3: Hoodlum Havoc,PC
Rayman Origins,PC
Rayman Raving Rabbids,PC
Red Faction: Armageddon,PC
Red Faction: Guerrilla,PC
Red Orchestra 2: Heroes of Stalingrad,PC
Remember Me,PC
Resident Evil 4,PC
Resident Evil 5,PC
Resident Evil 6,PC
Resident Evil Zero,PC
Resident Evil: Operation Raccoon City,PC
Resident Evil: Revelations,PC
Revolution: 25th Anniversary Collection,PC
Richard Burns Rally,PC
Ride,PC
Ride 2,PC
Ridge Racer Unbounded,PC
RIFT,PC
Rise of Flight: Iron Cross Edition,PC
Rise of Nations,PC
Rise of Nations: Rise of Legends,PC
Rise of the Tomb Raider,PC
Risen,PC
Risen 2: Dark Waters,PC
Risen 3: Titan Lords,PC
Riven: The Sequel to Myst,PC
Rocket League,PC
Rocksmith,PC
Rocksmith 2014,PC
RollerCoaster Tycoon,PC
RollerCoaster Tycoon 2,PC
RollerCoaster Tycoon 2: Triple Thrill Pack,PC
RollerCoaster Tycoon 3,PC
RollerCoaster Tycoon 3: Platinum,PC
RollerCoaster Tycoon World,PC
RollerCoaster Tycoon: Gold Edition,PC
Rome: Total War,PC
Rome: Total War - Gold Edition,PC
Royal Palace of White Sword and The City of Gentiles,PC
Rugby League Team Manager 2015,PC
Rugby World Cup 2015,PC
Runaway: A Twist of Fate,PC
S.T.A.L.K.E.R.: Call of Pripyat,PC
S.T.A.L.K.E.R.: Clear Sky,PC
S.T.A.L.K.E.R.: Shadow of Chernobyl,PC
Sacra Terra: Angelic Night,PC
Sacred 2: Fallen Angel,PC
Sacred 3,PC
Sacred Gold,PC
Saints Row 2,PC
Saints Row IV,PC
Saints Row: The Third,PC
SAW,PC
SBK 2011: FIM Superbike World Championship,PC
Scarface: The World is Yours,PC
Schlag den Raab,PC
Secret Files 2: Puritas Cordis,PC
Secret Files: Tunguska,PC
Section 8,PC
Sega Rally Revo,PC
Sengoku,PC
Serious Sam 3: BFE,PC
Serious Sam HD: Gold Edition,PC
Serious Sam II,PC
Sesame Street: Cookie's Counting Carnival,PC
Sesame Street: Elmo's A-to-Zoo Adventure,PC
Shaun White Skateboarding,PC
Sherlock Holmes: Crimes & Punishments,PC
Sherlock Holmes: The Devil's Daughter,PC
Ship Simulator 2008,PC
Ship Simulator Extremes,PC
Shutter Island,PC
Sid Meier's Civilization IV,PC
Sid Meier's Civilization V,PC
Sid Meier's Civilization VI,PC
Sid Meier's Civilization: Beyond Earth,PC
Sid Meier's Railroads!,PC
Silent Hunter 5: Battle of the Atlantic,PC
Silent Hunter III,PC
Silent Hunter: Wolves of the Pacific,PC
Sim Theme Park,PC
SimCity,PC
SimCity (2013),PC
SimCity 2000,PC
SimCity 4,PC
SimCity 4: Deluxe Edition,PC
SimCity Societies,PC
Singularity,PC
Sins of a Solar Empire,PC
Sins of a Solar Empire: Trinity,PC
Ski Region Simulator,PC
Skylanders: Spyro's Adventure,PC
Sleeping Dogs,PC
Sniper Elite,PC
Sniper: Art of Victory,PC
Sniper: Ghost Warrior,PC
Sniper: Ghost Warrior 2,PC
So Blonde,PC
Song of the Deep,PC
Sonic & All-Stars Racing Transformed,PC
Sonic Generations,PC
Sonic PC Collection,PC
South Park: The Stick of Truth,PC
Spec Ops: The Line,PC
Spider-Man 3,PC
Spider-Man: Friend or Foe,PC
Spider-Man: Web of Shadows,PC
Spirits and Demons: 5 Game Pack,PC
Split/Second,PC
Spore,PC
Star Trek Online,PC
Star Trek: Legacy,PC
Star Trek: The Game,PC
Star Wars Battlefront (2015),PC
Star Wars Jedi Knight: Jedi Academy,PC
Star Wars Knights of the Old Republic II: The Sith Lords,PC
Star Wars The Clone Wars: Republic Heroes,PC
Star Wars: Battlefront,PC
Star Wars: Battlefront II,PC
Star Wars: Dark Forces,PC
Star Wars: Empire at War,PC
Star Wars: Empire at War - Forces of Corruption,PC
Star Wars: Empire at War - Gold Pack,PC
Star Wars: Knights of the Old Republic,PC
Star Wars: Republic Commando,PC
Star Wars: The Force Unleashed II,PC
Star Wars: The Old Republic,PC
StarCraft,PC
StarCraft II: Heart of the Swarm,PC
StarCraft II: Legacy of the Void,PC
StarCraft II: Wings of Liberty,PC
Starship Troopers,PC
Stellaris,PC
Still Life 2,PC
STORM: Frontline Nation,PC
Stormrise,PC
Street Fighter IV,PC
Street Fighter V,PC
Street Fighter X Tekken,PC
Stronghold,PC
Stronghold 2 Deluxe,PC
Stronghold 3,PC
Stronghold Crusader Extreme,PC
Stronghold Kingdoms,PC
Stronghold Legends,PC
Summer Athletics,PC
Super Meat Boy: Ultra Edition!,PC
Supreme Commander,PC
Supreme Commander 2,PC
Supreme Commander: Forged Alliance,PC
Supreme Ruler: Cold War,PC
SWAT 4,PC
Syberia,PC
Syberia II,PC
Syndicate,PC
Take On Helicopters,PC
Tale of a Hero,PC
TERA,PC
Terraria,PC
Test Drive Unlimited,PC
Test Drive Unlimited 2,PC
The 7th Guest,PC
The Amazing Spider-Man 2 (2014),PC
The Binding of Isaac,PC
The Book of Unwritten Tales,PC
The Book of Unwritten Tales: The Critter Chronicles,PC
The Bureau: XCOM Declassified,PC
The Chronicles of Riddick: Assault on Dark Athena,PC
The Crew,PC
The Crew: Wild Run,PC
The Cursed Crusade,PC
The Dark Hills of Cherai,PC
The Darkness II,PC
The Elder Scrolls IV: Oblivion,PC
The Elder Scrolls Online,PC
The Elder Scrolls V: Skyrim,PC
The Evil Within,PC
The First Templar,PC
The Great Mystery Hidden Object Package 5,PC
The Haunted: Hell's Reach,PC
The Incredibles: Rise of the Underminer,PC
The Inner World,PC
The Last Remnant,PC
The LEGO Movie Videogame,PC
The Longest Journey,PC
The Lord of the Rings Online: Mines of Moria,PC
The Lord of the Rings: Conquest,PC
The Lord of the Rings: The Battle for Middle-Earth,PC
The Lord of the Rings: The Battle for Middle-Earth II,PC
The Lord of the Rings: War in the North,PC
The Lost Chronicles of Zerzura,PC
The Movies,PC
The Next BIG Thing,PC
The Night of the Rabbit,PC
The Orange Box,PC
The Rise of the Argonauts,PC
The Saboteur,PC
The Secret World,PC
The Settlers 7: Paths to a Kingdom,PC
The Settlers II 10th Anniversary,PC
The Settlers IV,PC
The Settlers: Rise of an Empire,PC
The Sims,PC
The Sims 2,PC
The Sims 2: Apartment Life,PC
The Sims 2: Bon Voyage,PC
The Sims 2: Family Fun Stuff,PC
The Sims 2: Glamour Life Stuff,PC
The Sims 2: Happy Holiday Stuff,PC
The Sims 2: Ikea Home Stuff,PC
The Sims 2: Nightlife,PC
The Sims 2: Open for Business,PC
The Sims 2: Pets,PC
The Sims 2: Seasons,PC
The Sims 2: University,PC
The Sims 3,PC
The Sims 3: Ambitions,PC
The Sims 3: Barnacle Bay,PC
The Sims 3: Fast Lane Stuff,PC
The Sims 3: Generations,PC
The Sims 3: High-End Loft Stuff,PC
The Sims 3: Late Night Expansion Pack,PC
The Sims 3: Outdoor Living Stuff,PC
The Sims 3: Seasons,PC
The Sims 3: Town Life Stuff,PC
The Sims 3: World Adventures,PC
The Sims 4,PC
The Sims 4: City Living,PC
The Sims 4: Get Together,PC
The Sims 4: Luxury Party Stuff,PC
The Sims 4: Spa Day,PC
The Sims Deluxe,PC
The Sims Medieval: Pirates and Nobles,PC
The Sims: Complete Collection,PC
The Sims: Hot Date,PC
The Sims: House Party,PC
The Sims: Livin Large,PC
The Sims: Makin' Magic,PC
The Sims: Medieval,PC
The Sims: Superstar,PC
The Sims: Unleashed,PC
The Sims: Vacation,PC
The Stronghold Collection,PC
The Technomancer,PC
The Testament of Sherlock Holmes,PC
The Train Giant,PC
The Treasures of Mystery Island 3 Pack - Save Mystery Island!,PC
The Void,PC
The Walking Dead: Season One,PC
The Whispered World,PC
The Witcher,PC
The Witcher 2: Assassins of Kings,PC
The Witcher 3: Wild Hunt,PC
The Witcher: Enhanced Edition,PC
Theatre Of War,PC
Theme Hospital,PC
Thief (2014),PC
Tiger Woods PGA Tour 2005,PC
TimeShift,PC
Titan Quest,PC
Titanfall,PC
Titanfall 2,PC
TOCA Race Driver 3,PC
Tom Clancy's EndWar,PC
Tom Clancy's Ghost Recon: Future Soldier,PC
Tom Clancy's HAWX,PC
Tom Clancy's HAWX 2,PC
Tom Clancy's Rainbow Six: Siege,PC
Tom Clancy's Rainbow Six: Vegas 2,PC
Tom Clancy's Splinter Cell: Blacklist,PC
Tom Clancy's Splinter Cell: Conviction,PC
Tom Clancy's The Division,PC
Tomb Raider,PC
Tomb Raider (2013),PC
Tomb Raider II,PC
Tomb Raider III: Adventures of Lara Croft,PC
Tomb Raider: Anniversary,PC
Tomb Raider: Legend,PC
Tomb Raider: The Last Revelation,PC
Tomb Raider: Underworld,PC
Torchlight,PC
Total War Attila: Tyrants & Kings,PC
Total War: Attila,PC
Total War: Rome II,PC
Total War: Shogun 2,PC
Total War: Shogun 2 - Fall of the Samurai,PC
Total War: WARHAMMER,PC
Totally Spies! Totally Party,PC
TrackMania Turbo,PC
Train Simulator 2016,PC
Transformers: Devastation,PC
Transformers: Fall of Cybertron,PC
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",PC
"Transformers: War for Cybertron (XBox 360, PS3, & PC Versions)",PC
Transport Fever,PC
Trapped Dead,PC
Trials Fusion,PC
Trine,PC
Trine 2,PC
TRON: Evolution,PC
Tropico 3,PC
Tropico 3: Gold Edition,PC
Tropico 4,PC
Tropico 4: Modern Times,PC
Tropico 5,PC
Tropico Reloaded,PC
Turok,PC
Two Worlds II,PC
Tycoon City: New York,PC
UFO: Trilogy,PC
UK Truck Simulator,PC
Unreal Anthology,PC
Unreal Tournament 2003,PC
Unreal Tournament 2004,PC
Unreal Tournament III,PC
Uru: Ages Beyond Myst,PC
Valentino Rossi: The Game,PC
Venetica,PC
Vietcong,PC
Virtua Tennis 3,PC
Virtua Tennis 4,PC
Viva Pinata,PC
Voodoo Chronicles: First Sign,PC
Wall-E,PC
War for the Overworld,PC
War Leaders: Clash of Nations,PC
Warcraft II: Tides of Darkness,PC
Warcraft III: Reign of Chaos,PC
Warcraft III: The Frozen Throne,PC
Warcraft: Orcs & Humans,PC
"Warhammer 40,000: Dawn of War",PC
"Warhammer 40,000: Dawn of War II",PC
"Warhammer 40,000: Dawn of War II - Chaos Rising",PC
"Warhammer 40,000: Dawn of War II - Retribution",PC
"Warhammer 40,000: Dawn of War: Soulstorm",PC
"Warhammer 40,000: Space Marine",PC
Warhammer Online: Age of Reckoning,PC
Warhammer: Mark of Chaos,PC
Wasteland 2,PC
Watch Dogs,PC
Who wants to be a millionaire,PC
Wildlife Park 3,PC
Wildstar,PC
Winning Eleven: Pro Evolution Soccer 2007,PC
Wolfenstein,PC
Wolfenstein: The New Order,PC
Wolfenstein: The Old Blood,PC
World in Conflict,PC
World in Conflict: Complete Edition,PC
World of Goo,PC
World of Tanks,PC
World of Warcraft,PC
World of Warcraft: Cataclysm,PC
World of Warcraft: Legion,PC
